raw_specialty,nucc_codes,confidence,explain,confidence_bin
PAIN MANAGEMENT,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
GERIATRIC,1835G0303X|207QG0300X|207RG0300X|2084P0805X|2278G0305X,0.5,fuzzy match: 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00; 'psychiatry and neurology geriatric psychiatry' score=1.00; 'pharmacist geriatric' score=1.00; 'respiratory therapist certified geriatric care' score=1.00,"(0.25, 0.5]"
HOSPICE,207LH0002X|207PH0002X|207QH0002X|207RH0002X|207VH0002X,0.5,fuzzy match: 'anesthesiology hospice and palliative medicine' score=1.00; 'emergency medicine hospice and palliative medicine' score=1.00; 'family medicine hospice and palliative medicine' score=1.00; 'internal medicine hospice and palliative medicine' score=1.00; 'obstetrics and gynecology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Infectious Diseases,1835I0206X|2080P0208X,0.5,fuzzy match: 'pediatrics pediatric infectious diseases' score=1.00; 'pharmacist infectious diseases' score=1.00,"(0.25, 0.5]"
PAIN CLINIC,261QP3300X,0.5,fuzzy match: 'clinic center pain' score=1.00,"(0.25, 0.5]"
ADDICTION,207LA0401X|207QA0401X|207RA0401X|2083A0300X|2084A0401X,0.5,fuzzy match: 'anesthesiology addiction medicine' score=1.00; 'family medicine addiction medicine' score=1.00; 'internal medicine addiction medicine' score=1.00; 'preventive medicine addiction medicine' score=1.00; 'psychiatry and neurology addiction medicine' score=1.00,"(0.25, 0.5]"
VASCULAR,2084V0102X|2085R0204X|2086S0129X|208G00000X|2471V0105X,0.5,fuzzy match: 'psychiatry and neurology vascular neurology' score=1.00; 'radiology vascular and interventional radiology' score=1.00; 'surgery vascular surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00; 'radiologic technologist vascular sonography' score=1.00,"(0.25, 0.5]"
GENETICS,207SC0300X|207SG0201X|207SG0202X|207SG0203X|207SG0207X,0.5,fuzzy match: 'medical genetics clinical biochemical genetics' score=1.00; 'medical genetics clinical cytogenetics' score=1.00; 'medical genetics clinical genetics m d' score=1.00; 'medical genetics clinical molecular genetics' score=1.00; 'medical genetics medical biochemical genetics' score=1.00,"(0.25, 0.5]"
RADIOLOGY,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
DIETITIAN,133V00000X|133VN1006X|133VN1101X|133VN1201X|133VN1301X,0.5,fuzzy match: 'dietitian registered' score=1.00; 'dietitian registered nutrition gerontological' score=1.00; 'dietitian registered nutrition metabolic' score=1.00; 'dietitian registered nutrition obesity and weight management' score=1.00; 'dietitian registered nutrition oncology' score=1.00,"(0.25, 0.5]"
CRITICAL CARE,207LC0200X|207RC0200X|207VC0200X|2080P0203X|2086S0102X,0.5,fuzzy match: 'anesthesiology critical care medicine' score=1.00; 'internal medicine critical care medicine' score=1.00; 'obstetrics and gynecology critical care medicine' score=1.00; 'pediatrics pediatric critical care medicine' score=1.00; 'surgery surgical critical care' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
RADIOLOGY,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
PAIN MANAGEMENT,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Geriatric,1835G0303X|207QG0300X|207RG0300X|2084P0805X|2278G0305X,0.5,fuzzy match: 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00; 'psychiatry and neurology geriatric psychiatry' score=1.00; 'pharmacist geriatric' score=1.00; 'respiratory therapist certified geriatric care' score=1.00,"(0.25, 0.5]"
radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
PAIN MANAGEMENT,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
pain management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
RADIOLOGY,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Addiction,207LA0401X|207QA0401X|207RA0401X|2083A0300X|2084A0401X,0.5,fuzzy match: 'anesthesiology addiction medicine' score=1.00; 'family medicine addiction medicine' score=1.00; 'internal medicine addiction medicine' score=1.00; 'preventive medicine addiction medicine' score=1.00; 'psychiatry and neurology addiction medicine' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
RADIOLOGY,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Pain-Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Geriatric,1835G0303X|207QG0300X|207RG0300X|2084P0805X|2278G0305X,0.5,fuzzy match: 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00; 'psychiatry and neurology geriatric psychiatry' score=1.00; 'pharmacist geriatric' score=1.00; 'respiratory therapist certified geriatric care' score=1.00,"(0.25, 0.5]"
Radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
Addiction,207LA0401X|207QA0401X|207RA0401X|2083A0300X|2084A0401X,0.5,fuzzy match: 'anesthesiology addiction medicine' score=1.00; 'family medicine addiction medicine' score=1.00; 'internal medicine addiction medicine' score=1.00; 'preventive medicine addiction medicine' score=1.00; 'psychiatry and neurology addiction medicine' score=1.00,"(0.25, 0.5]"
Dietitian,133V00000X|133VN1006X|133VN1101X|133VN1201X|133VN1301X,0.5,fuzzy match: 'dietitian registered' score=1.00; 'dietitian registered nutrition gerontological' score=1.00; 'dietitian registered nutrition metabolic' score=1.00; 'dietitian registered nutrition obesity and weight management' score=1.00; 'dietitian registered nutrition oncology' score=1.00,"(0.25, 0.5]"
radiology,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
DIETITIAN,133V00000X|133VN1006X|133VN1101X|133VN1201X|133VN1301X,0.5,fuzzy match: 'dietitian registered' score=1.00; 'dietitian registered nutrition gerontological' score=1.00; 'dietitian registered nutrition metabolic' score=1.00; 'dietitian registered nutrition obesity and weight management' score=1.00; 'dietitian registered nutrition oncology' score=1.00,"(0.25, 0.5]"
Pain Management,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
RADIOLOGY,2085B0100X|2085D0003X|2085H0002X|2085R0202X|2085U0001X,0.5,fuzzy match: 'radiology body imaging' score=1.00; 'radiology diagnostic neuroimaging' score=1.00; 'radiology diagnostic radiology' score=1.00; 'radiology diagnostic ultrasound' score=1.00; 'radiology hospice and palliative medicine' score=1.00,"(0.25, 0.5]"
PAIN MANAGEMENT,163WP0000X,0.5,fuzzy match: 'registered nurse pain management' score=1.00,"(0.25, 0.5]"
Vascular,2084V0102X|2085R0204X|2086S0129X|208G00000X|2471V0105X,0.5,fuzzy match: 'psychiatry and neurology vascular neurology' score=1.00; 'radiology vascular and interventional radiology' score=1.00; 'surgery vascular surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00; 'radiologic technologist vascular sonography' score=1.00,"(0.25, 0.5]"
